"namespace","namespace_id","mounts","clients","entity_clients","non_entity_clients","acme_clients","secret_syncs"
"prod/platform/","NkGVK",33,70,70,0,0,0
"root","root",4,60,60,0,0,0
"sand/platform/","F7tUT",22,60,60,0,0,0
"dr/platform/","eNoSK",19,20,20,0,0,0
"sand/zurich/","HKp9s",1,17,17,0,0,0
"prod/azfra1/","B5uGY",1,16,16,0,0,0
"sand/azfra1/","xJzfS",1,16,16,0,0,0
"prod/cd/","YXVmF",1,11,11,0,0,0
"sand/jago/","qwNB3",1,10,10,0,0,0
"deleted namespace ""hy090""","hy090",1,8,8,0,0,0
"prod/zurich/","K6FpG",1,8,8,0,0,0
"sand/atlas/","E6Q7d",1,7,7,0,0,0
"sand/sngpr2/","NHvxm",1,7,7,0,0,0
"prod/alami/","KHYfc",1,7,7,0,0,0
"sand/osbg/","YvF4E",1,7,7,0,0,0
"sand/koinworks/","z7iv2",1,7,7,0,0,0
"sand/jeitto/","m1DMt",1,7,7,0,0,0
"deleted namespace ""R0SjX""","R0SjX",1,7,7,0,0,0
"prod/osbg/","FDJJC",1,7,7,0,0,0
"prod/sngpr2/","ovhip",1,7,7,0,0,0
"sand/bns/","gtn55",1,7,7,0,0,0
"sand/alami/","ETzqX",1,7,7,0,0,0
"prod/atlas/","5QaDh",1,7,7,0,0,0
"prod/jago/","YZZFo",1,7,7,0,0,0
"prod/koinworks/","1kVeZ",1,7,7,0,0,0
"prod/jeitto/","ttRza",1,7,7,0,0,0
"prod/azptest24/","LVYan",1,7,7,0,0,0
"prod/wio/","sAMB1",1,7,7,0,0,0
"prod/gcpptest2/","HiLlC",1,7,7,0,0,0
"prod/bns/","4dbMp",1,7,7,0,0,0
"deleted namespace ""IiaWE""","IiaWE",1,7,7,0,0,0
"sand/wio/","Dw8yA",1,7,7,0,0,0
"dr/drt287/","JD7zJ",1,5,5,0,0,0
"sand/azureuae/","lMHkP",1,5,5,0,0,0
"sand/libertad/","rkLy2",1,5,5,0,0,0
"prod/montreal/","qkkJE",1,5,5,0,0,0
"prod/bankina/","azjKw",1,5,5,0,0,0
"sand/montreal/","LSSkK",1,5,5,0,0,0
"deleted namespace ""j9I7a""","j9I7a",1,5,5,0,0,0
"sand/bankina/","NhA0s",1,5,5,0,0,0
"prod/libertad/","YnEYs",1,5,5,0,0,0
"prod/azureuae/","4m0pX",1,5,5,0,0,0
"sand/sdb/","bFkJN",1,4,4,0,0,0
"sand/osb/","EdZaZ",1,4,4,0,0,0
"deleted namespace ""6PPAx""","6PPAx",1,4,4,0,0,0
"deleted namespace ""L6bxp""","L6bxp",1,4,4,0,0,0
"deleted namespace ""fhHaj""","fhHaj",1,4,4,0,0,0
"deleted namespace ""uQSXH""","uQSXH",1,4,4,0,0,0
"sand/adq/","iPGIl",1,4,4,0,0,0
"sand/bsf/","q0qUG",1,4,4,0,0,0
"prod/drt287/","XOdeY",1,3,3,0,0,0
"deleted namespace ""8Egsn""","8Egsn",1,3,3,0,0,0
"deleted namespace ""EqZ38""","EqZ38",1,3,3,0,0,0
"deleted namespace ""41gBR""","41gBR",1,3,3,0,0,0
"deleted namespace ""ifjJN""","ifjJN",1,3,3,0,0,0
"deleted namespace ""dLZsT""","dLZsT",1,3,3,0,0,0
"prod/sdb/","Zjjgb",1,3,3,0,0,0
"deleted namespace ""Jkpyk""","Jkpyk",1,3,3,0,0,0
"gitlab/","11XNH",1,2,2,0,0,0
"prod/ta3meed/","7UGGI",1,2,2,0,0,0
"deleted namespace ""YFqMn""","YFqMn",1,2,2,0,0,0
"deleted namespace ""Mb7iR""","Mb7iR",1,1,1,0,0,0
"prod/vault-eu-az/","Tvg9B",1,1,1,0,0,0
"dr/jeitto/","bmMBB",1,1,1,0,0,0
"dr/adq/","ZeP8F",1,1,1,0,0,0
"deleted namespace ""kcacU""","kcacU",1,1,1,0,0,0
"dr/montreal/","Hpxua",1,1,1,0,0,0
"dr/sngpr2/","vJsac",1,1,1,0,0,0
"dr/vault-eu-az/","LPZJK",1,1,1,0,0,0
"deleted namespace ""fTMGL""","fTMGL",1,1,1,0,0,0
"deleted namespace ""tBcOv""","tBcOv",1,1,1,0,0,0
"dr/sdb/","VYqqm",1,1,1,0,0,0
"dr/libertad/","ESENa",1,1,1,0,0,0
"dr/azfra1/","rFtQp",1,1,1,0,0,0
"dr/osbg/","7oELy",1,1,1,0,0,0
"deleted namespace ""3M5Cl""","3M5Cl",1,1,1,0,0,0
"deleted namespace ""tbReZ""","tbReZ",1,1,1,0,0,0
"dr/azureuae/","LMMT8",1,1,1,0,0,0
"dr/zurich/","GfTMq",1,1,1,0,0,0
